loss,mae,val_loss,val_mae,learning_rate
0.006611136253923178,0.0533667616546154,0.006361351348459721,0.05143335089087486,9.999999747378752e-05
0.0059952340088784695,0.050742894411087036,0.005915903951972723,0.049695827066898346,9.999999747378752e-05
0.00545759592205286,0.04889528453350067,0.005353240296244621,0.04717235267162323,9.999999747378752e-05
0.004548815079033375,0.045211028307676315,0.0042634326964616776,0.04392949864268303,9.999999747378752e-05
0.0034698136150836945,0.039939310401678085,0.0031439177691936493,0.03826262801885605,9.999999747378752e-05
0.0026652198284864426,0.035228606313467026,0.002168143866583705,0.03020530752837658,9.999999747378752e-05
0.0020810882560908794,0.03089076466858387,0.0018783502746373415,0.028870748355984688,9.999999747378752e-05
0.0016904021613299847,0.027804458513855934,0.0016798978904262185,0.027723930776119232,9.999999747378752e-05
0.0014403474051505327,0.02548462525010109,0.0014536107191815972,0.025072284042835236,9.999999747378752e-05
0.0012685004621744156,0.024120572954416275,0.0012549423845484853,0.023203665390610695,9.999999747378752e-05
0.001124216360040009,0.02265719696879387,0.0012879053829237819,0.023111680522561073,9.999999747378752e-05
0.001007928280159831,0.021312180906534195,0.001179361017420888,0.022006012499332428,9.999999747378752e-05
