image,steering_angle,command
img_1782317332.png,0,0
img_1782317333.png,0,0
img_1782317334.png,0,0
img_1782317335.png,0,0
img_1782317336.png,0,0
img_1782317337.png,0,0
img_1782317338.png,0,0
img_1782317339.png,0,0
img_1782317340.png,0,0
img_1782317341.png,0,0
img_1782317342.png,0,0
img_1782317343.png,0,0
img_1782317344.png,0,0
img_1782317345.png,0,0
img_1782317346.png,0,0
img_1782317347.png,0,0
img_1782317348.png,0,0
img_1782317349.png,0,0
img_1782317350.png,-0.066032823,0
img_1782317351.png,-0.119986447,0
img_1782317352.png,-0.098037663,0
img_1782317353.png,-0.080103908,0
img_1782317354.png,-0.065450725,0
img_1782317355.png,-0.053478008,0
img_1782317356.png,-0.043695426,0
img_1782317357.png,-0.035702344,0
img_1782317358.png,0.039584128,0
img_1782317359.png,0.032343114,0
img_1782317360.png,0.205417908,0
img_1782317361.png,0.31397432,0
img_1782317362.png,0.186381163,0
img_1782317363.png,0.084906548,0
img_1782317364.png,-0.032730621,0
img_1782317365.png,-0.126806644,0
img_1782317366.png,-0.203673604,0
img_1782317367.png,-0.166416163,0
img_1782317368.png,-0.09981729,0
img_1782317369.png,-0.012802451,0
img_1782317370.png,0.133188288,0
img_1782317371.png,0.148024528,0
img_1782317372.png,0.153629729,0
img_1782317373.png,0.125526674,0
img_1782317374.png,-0.006849159,0
img_1782317375.png,-0.005596261,0
img_1782317376.png,-0.004572553,0
img_1782317377.png,-0.003736109,0
img_1782317378.png,-0.003052673,0
img_1782317379.png,-0.002494256,0
img_1782317380.png,-0.002037989,0
img_1782317381.png,-0.001665185,0
img_1782317382.png,-0.001360577,0
img_1782317383.png,-0.001111691,0
img_1782317384.png,-0.000908332,0
img_1782317385.png,-0.000742174,0
img_1782317386.png,-0.00060641,0
img_1782317387.png,-0.000495481,0
img_1782317388.png,-0.000404844,0
img_1782317389.png,-0.000330787,0
img_1782317390.png,-0.000270277,0
img_1782317391.png,-0.000220836,0
img_1782317392.png,-0.000180439,0
img_1782317393.png,-0.000147432,0
img_1782317394.png,-0.000120463,0
img_1782317395.png,-9.84E-05,0
img_1782317396.png,-8.04E-05,0
img_1782317397.png,-6.57E-05,0
img_1782317398.png,-5.37E-05,0
img_1782317399.png,-4.39E-05,0
img_1782317400.png,-3.58E-05,0
img_1782317401.png,-2.93E-05,0
img_1782317402.png,-2.39E-05,0
img_1782317403.png,-1.96E-05,0
img_1782317404.png,-1.60E-05,0
img_1782317405.png,-1.31E-05,0
img_1782317406.png,-1.07E-05,0
img_1782317407.png,-8.71E-06,0
img_1782317408.png,-7.12E-06,0
img_1782317409.png,-5.82E-06,0
img_1782317410.png,-4.75E-06,0
img_1782317411.png,-3.88E-06,0
img_1782317412.png,-3.17E-06,0
img_1782317413.png,-2.59E-06,0
img_1782317414.png,-2.12E-06,0
img_1782317415.png,-1.73E-06,0
img_1782317416.png,-1.41E-06,0
